22.0,71896
26.0,71897
27.0,71898
28.0,71899
44.0,71900
51.0,71901
61.0,71902
62.0,71903
63.0,71904
68.0,71905
70.0,71906
77.0,71907
91.0,71908
92.0,71909
110.0,71910
121.0,71911
169.0,71912
180.0,71913
183.0,71914
190.0,71915
196.0,71916
208.0,71917
211.0,71918
227.0,71919
243.0,71920
249.0,71921
252.0,71922
253.0,71923
256.0,71924
259.0,71925
260.0,71926
261.0,71927
267.0,71928
273.0,71929
284.0,71930
291.0,71931
292.0,71932
295.0,71933
300.0,71934
302.0,71935
304.0,71936
343.0,71937
350.0,71938
355.0,71939
369.0,71940
373.0,71941
374.0,71942
375.0,71943
376.0,71944
379.0,71945
381.0,71946
404.0,71947
421.0,71948
429.0,71949
430.0,71950
431.0,71951
437.0,71952
444.0,71953
461.0,71954
468.0,71955
483.0,71956
487.0,71957
490.0,71958
492.0,71959
497.0,71960
500.0,71961
503.0,71962
505.0,71963
506.0,71964
507.0,71965
512.0,71966
539.0,71967
543.0,71968
551.0,71969
562.0,71970
586.0,71971
591.0,71972
592.0,71973
600.0,71974
602.0,71975
604.0,71976
617.0,71977
626.0,71978
629.0,71979
633.0,71980
639.0,71981
644.0,71982
661.0,71983
664.0,71984
689.0,71985
721.0,71986
739.0,71987
742.0,71988
744.0,71989
747.0,71990
748.0,71991
749.0,71992
752.0,71993
754.0,71994
755.0,71995
757.0,71996
767.0,71997
779.0,71998
803.0,71999
806.0,72000
812.0,72001
813.0,72002
816.0,72003
835.0,72004
837.0,72005
839.0,72006
851.0,72007
874.0,72008
876.0,72009
882.0,72010
901.0,72011
904.0,72012
906.0,72013
909.0,72014
912.0,72015
922.0,72016
926.0,72017
930.0,72018
960.0,72019
968.0,72020
985.0,72021
986.0,72022
1006.0,72023
1009.0,72024
1017.0,72025
1020.0,72026
1033.0,72027
1037.0,72028
1043.0,72029
1045.0,72030
1046.0,72031
1055.0,72032
1058.0,72033
1064.0,72034
1065.0,72035
1067.0,72036
1071.0,72037
1072.0,72038
1073.0,72039
1074.0,72040
1075.0,72041
1076.0,72042
1077.0,72043
1078.0,72044
1079.0,72045
1082.0,72046
1109.0,72047
1110.0,72048
1111.0,72049
1112.0,72050
1113.0,72051
1114.0,72052
1115.0,72053
1116.0,72054
1117.0,72055
1120.0,72056
1124.0,72057
1126.0,72058
1128.0,72059
1136.0,72060
1137.0,72061
1138.0,72062
1151.0,72063
1156.0,72064
1160.0,72065
1161.0,72066
1162.0,72067
1164.0,72068
1165.0,72069
1168.0,72070
1170.0,72071
1173.0,72072
1174.0,72073
1177.0,72074
1178.0,72075
1183.0,72076
1188.0,72077
1190.0,72078
1193.0,72079
1198.0,72080
1203.0,72081
1208.0,72082
1218.0,72083
1238.0,72084
1241.0,72085
1245.0,72086
1250.0,72087
1255.0,72088
